fips	low_birthweight_percentage	food_environment	physical_exercise_opportunities	teen_births	limited_healthy_access	stis	uninsured	primarycare_ratio	dentist_ratio	mentalhealth_ratio	otherproviders_ratio	HS_completion	some_college	disconnected_youth	unemployment	income_inequality	children_freelunches	single_parent_households	social_associations	water_violations	high_housing_costs	housing_overcrowding	segregation_black_white	segregation_nonwhite_white	homeownership	severe_ownership_cost	smoke_perc	obesity_perc	inactive_perc	drinking_perc	Food_Insecure_perc	preventable_hospitalization	mammogram_perc	flu_vaccine_perc	children_poverty_percent	median_income	Violent_crime	air_pollution	drive_alone_perc	long_commute_perc	traffic_volume
13029	0.0731319554848967	8	0.849502199583237	0.0201022957059593	0.0628795152813151	0.00423637344846195	0.122164205977674	1277.9310345	2722.0714286	1270.3	1229.3225806	0.882438316400581	0.68681787985195	0.0760286225402505	0.034027311394672	4.86938148290434	0.340277020394809	0.281330904209416	8.3648138154344e-4	0	0.1371453138	0.016115352	22.563340194	15.212819846	0.698480531813865	0.156901201274822	0.17	0.35	0.3	0.18	0.11	4627	0.42	0.42	0.12	79658	258	10.3	0.85	0.63	106
13031	0.100585774058577	6.8	0.314695871370181	0.0161405769093121	0.0285536095959668	0.00780049639522515	0.167798628770078	1813.0714286	2665.3793103	1104.2285714	1058.8493151	0.851123595505618	0.700083263946711	0.0293941211757648	0.0418099885342506	5.6393791463262	0.605070108645185	0.388892651540806	6.9600388711604e-4	0	0.1985885121	0.0181228539	33.376533499	32.113556755	0.53470599146725994	0.198476841778054	0.19	0.3	0.28	0.17	0.2	6884	0.4	0.48	0.24	43766	185	10.6	0.79	0.27	82
13039	0.0748740100791937	7.1	0.607051650070279	0.0305031154096531	0.136440010745749	0.0049392956790589	0.134650558879982	3120.2352941	3157.4705882	879.95081967	1248.3023256	0.925742574257426	0.637085441259134	0.131864288212662	0.0415594318940044	3.94597632249363	0.497405966277562	0.321937770775896	9.0490913204132e-4	1	0.116576087	0.0176848875	17.548184765	16.990938643	0.620737827909143	0.112059369202226	0.17	0.39	0.34	0.18	0.13	4582	0.43	0.42	0.21	56555	320	9	0.84	0.33	48
13045	0.0811061618411284	7.1	0.493671229654293	0.0301862942787492	0.107549301998607	0.00606050317454928	0.159783296263799	2181.7037037	3474.1470588	855.94927536	1018.2844828	0.89863407620417	0.583655105261391	0.0447345076669624	0.0400845024646552	4.43654593081023	0.597869573914783	0.32697320782042	0.00101008386242488	0	0.1410856637	0.0219684746	26.490662536	27.993831285	0.652490886998785	0.133129848658273	0.18	0.4	0.36	0.16	0.14	4235	0.37	0.4	0.22	52502	311	11.1	0.81	0.39	95
13047	0.0826104915324246	7.9	0.745519376935348	0.0308320427988174	0.111428747693222	0.00297520661157025	0.127391312246789	2016.6666667	5186.1538462	853.41772152	1685.5	0.882096069868996	0.629486799169386	0.0918665886483324	0.0342019543973941	4.22968054993935	0.48646895273401297	0.228173821714586	8.2644628099173e-4	0	0.0915743257	0.0145228216	27.25960551	17.266877645	0.7501217730151	0.094438877755511	0.15	0.39	0.32	0.17	0.1	4463	0.42	0.47	0.17	55807	260	11	0.85	0.32	210
13051	0.101740147693208	6.9	0.89642738601732	0.025071578979261	0.0746354193898796	0.00876761181544986	0.162236793735199	1134.7695313	1498.4196891	688.55952381	601.23700624	0.86678587393831	0.693400267899164	0.069242218339481	0.0372558895091898	4.66558693962166	0.554449648711944	0.462804273240215	0.00109810293252003	0	0.1789629206	0.0195784543	47.523445515	41.657592364	0.541326478719568	0.17129696271772	0.17	0.32	0.26	0.17	0.17	4502	0.47	0.45	0.2	54165	448	9.9	0.78	0.26	362
13055	0.0783938814531549	7.7	0.414376321353066	0.0557620817843866	0.0312418950482414	0.0037141703673799	0.166380342547764	12385	2479	3098.75	2065.8333333	0.861111111111111	0.382013465854441	0.175578611332801	0.0409077905978831	4.66245990796263	0.677595628415301	0.347442363112392	9.2854259184497e-4	1	0.0840484048	0.0753205128	46.163117579	28.448440488	0.668278742580787	0.102531052261542	0.19	0.3	0.3	0.15	0.14	6840	0.37	0.44	0.25	39513	136	10.9	0.85	0.37	63
13057	0.0690476190476191	8.7	0.913350377427151	0.0124368231046931	0.0710416280313139	0.00281533123563555	0.128374504109308	2578.8854167	2083.1885246	1134.59375	1910.8947368	0.877358490566038	0.728466947077657	0.0522313541746678	0.031137282660261	3.83517781134148	0.29474464732598	0.193100726758525	6.9070536770972e-4	0	0.1130287436	0.0212739487	31.509826428	27.536287531	0.765522866297699	0.108265120644387	0.15	0.27	0.25	0.19	0.08	4084	0.38	0.48	0.09	82733	93	11.2	0.79	0.59	302
13059	0.098731328013096	5	0.822600544921775	0.0132145114913229	0.209842471443015	0.00893250645344079	0.162971595047342	1530.8915663	1958.9230769	373.40175953	618.10679612	0.796246648793566	0.711023758598763	0.022459974201381	0.0395282635217568	6.35188299817185	0.920514705882353	0.442860492379836	0.00107032676446515	0	0.2464443926	0.0233853007	28.877842114	24.753940793	0.39005590377774	0.246924625363453	0.2	0.24	0.26	0.16	0.21	5005	0.46	0.49	0.3	42112	405	11	0.73	0.17	268
13063	0.117328935256214	5.2	0.789445078327371	0.0303331317842849	0.176760862888553	0.00987540022373954	0.188329800290081	3960.4583333	4079.084507	1516.3089005	3531.8902439	0.720879120879121	0.534790066373331	0.104095457087813	0.0489956191118079	3.9394824904557697	0.919054102472232	0.543179232599028	4.313473819318e-4	0	0.1992506812	0.038367709	30.496923473	26.345371804	0.505670741558512	0.179357078479153	0.19	0.37	0.34	0.13	0.21	4867	0.36	0.39	0.27	46059	632	11.5	0.78	0.5	409
